Name of Establishment,Address
JOMZ PHARMACY,"District III (Pob.), Sibalom, Antique"
BUYRIGHT DRUGMART,"900 MAYON ST. BARANGAY VILLAMONTE, Bacolod City, Negros Occidental"
JGC PHARMACY,"ISADA Building, Phase V Alta Tierra Village, Barangay Quintin Salas, Jaro, Iloilo City, Iloilo"
E-CARE Multipurpose Cooperative (E-CAREMPC),"Water Village, Barangay Lawaan, Roxas City, Capiz"
MERRYMART CONSUMER CORP.,"Quintin Salas Jaro, Iloilo City, Iloilo"
Billones DrugStore,"Cor. Aguilar and Severino St., Brgy. IV , Hinigaran, Negros Occidental, Hinigaran, Negros Occidental"
Valenzuela Pharmacy,"Brgy. Baldoza, Lapaz, Iloilo City, Iloilo"
Deb Pharmacy,"Real St. Poblacion, Banate, Iloilo, Western Visayas (Region VI), 5010, Banate, Iloilo"
NEW FARMACIA REGDAL,"184 JP Rizal St., Poblacion Banga, Banga, Aklan, Western Visayas (Region VI), 5601, Banga, Aklan"
N and E Well Pharmacy,"Purok 5, Barangay Bantayan, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"GF U131-134 City Mall, F. Quimpo St., connecting Mabini & Toting Reyes Streets, Poblacion, , Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
SOUTH STAR DRUG,"East 3 Center Burgos Ave. Ext., Barangay Villamonte, Bacolod City, Negros Occidental"
Anaiah Pharmacy,"Vera Street Purok Yulo Brgy Sum-ag, Bacolod City, Negros Occidental"
PRODRUG PHARMACY,"Melliza St., Brgy. Poblacion Ilaud, Zarraga, Iloilo, Western Visayas (Region VI), 5004, Zarraga, Iloilo"
YSNC PHARMA AND MEDICAL SUPPLIES TRADING,"Barangay Poblacion, President Roxas, Capiz"
EZ DRUGSTORE,"Prk. Lumboy, Brgy. Rizal, Escalante City, Negros Occidental"
KAZZ N' ZAIN PHARMA-MART,"URIARTE SUBD, BRGY 3, LA CARLOTA CITY, La Carlota City, Negros Occidental"
SOUTH STAR DRUG,"GF 03-04 Gaisano Capital Iloillo City Center Mall, Diversion Road, Barangay San Rafael, Mandurriao, Iloilo City, Iloilo"
ROSE PHARMACY,"Anacleta Bldg., cor., Burgos-Magdalo Sts., Brgy. Magdalo, La Paz, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
FARMACIA LUCIA,"Rizal St., Ilawod,, Public Market, , Pontevedra, Capiz, Western Visayas (Region VI), 5802, Pontevedra, Capiz"
CONFLUENCE HEALTH AND WELLNESS PRODUCTS,"Level 1-352 Shophouse, Robinsons Place Iloilo, De Leon Street, Barangay Roxas Village, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
JADIS PHARMACY,"Purok. Crotons A, Brgy. Old, Sagay, Negros Occidental, Negros Island Region, 6122, Sagay, Negros Occidental"
MAYO'S PHARMACY,"S&Y Building, POBLACION TAKAS, Cuartero, Capiz, Western Visayas (Region VI), 5811, Cuartero, Capiz"
Farmacia Trez Marias,"Tubungan Public Market, Zone II Poblacion, Tubungan, Iloilo, Western Visayas (Region VI), 5027, Tubungan, Iloilo"
BOTICA ST. ROCH,"BLK. 3,4,5,8,47 & 48, VCC, BARANGAY II, Victorias City, Negros Occidental"
DMG PHARMACY,"Barangay Mc Lain, Buenavista, Guimaras, Western Visayas (Region VI), 5044, Buenavista, Guimaras"
GCARE III DRUGSTORE,"Brgy. Poblacion, Banate, Iloilo"
NL Pharmacy,"Sta. Cruz St., Brgy. Poblacion, Jamindan, Capiz"
GR8HEALTH PHARMACY,"Dessa St., Poblacion, New Lucena, Iloilo"
C. CORDERO DRUG,"Dueñas Public Market, Dueñas, Dueñas, Iloilo, Western Visayas (Region VI), 5038, Dueñas, Iloilo"
GJ Pharmacy,"Barangay East, Candoni, Negros Occidental"
THE GENERICS PHARMACY,"POBLACION TAKAS, Cuartero, Capiz"
AMW PHARMACY,"Brgy. Atabay, San Jose, Antique"
AVISTCOR DRUGSTORE,"National Highway, Prk. Commercial, Brgy. Paraiso, Sagay, Negros Occidental, Negros Island Region, 6122, Sagay, Negros Occidental"
Josmef Pharma Inc.,"Casa Plaza, cor. Gen. Luna St., Brgy. Danao, Iloilo City, Iloilo"
CATINOY DRUGSTORE,"PUROK TUBURAN, BARANGAY TAPI, Kabankalan City, Negros Occidental"
First Floral Hills Pharmacy,"131 National Road, Poblacion, Belison, Antique, Western Visayas (Region VI), 5701, Belison, Antique"
HONEY'S RESIDENTIAL DRUGSTORE,"Hanglid, President Roxas, Capiz, Western Visayas (Region VI), 5803, President Roxas, Capiz"
PINILI DEVELOPMENT COOPERATIVE,"Sollesta St., Poblacion, New Lucena, Iloilo"
Fourth Pharmacy,"Paul T. Guanco, Brgy. Mohon, Arevalo, Iloilo City, Iloilo"
ILOILO GRACE PHARMACY,"Ground Floor Robinson's Place Iloilo, cor. Quezon de Leon Sts., Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
SHAMS PHARMACY,"Arroyo St., Brgy. Zone V, Santa Barbara, Iloilo, Western Visayas (Region VI), 5002, Santa Barbara, Iloilo"
PTP PHARMACY,"Corner San  Sebastian-Gatuslao Street, Barangay 15, Bacolod City, Negros Occidental"
Healthy Express Drugmart,"Brgy. Balabag, Pavia, Iloilo"
MADELEINE PHARMACY,"CDT REAL ESTATE PROPERTY LEASING, MAYOR M. DIONELA STREET, CENTRO NORTE, Pandan, Antique, Western Visayas (Region VI), 5712, Pandan, Antique"
SOUTH STAR DRUG,"Robinsons Purok 5, Brgy. San Angel, San Jose de Buenavista, Antique"
DJAM II PHARMACY,"ST. MICHAEL SUBD., BRGY. ALICANTE, Enrique B. Magalona, Negros Occidental"
BOTIKA AMARIS,"Barangay IV, Victorias, Negros Occidental, Negros Island Region, 6119, Victorias, Negros Occidental"
JIMSCURE PHARMACY,"M. H. Del Pilar St., , Barotac Nuevo, Iloilo, Western Visayas (Region VI), 5007, Barotac Nuevo, Iloilo"
FLORTON DRUGSTORE,"San Roque St., Loctugan, Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
JDY DRUSTORE,"Quezon street, Poblacion, Madalag, Aklan, Western Visayas (Region VI), 5603, Madalag, Aklan"
HQ CURE CENTER CORPORATION,"J.C. Zulueta St.,, Poblacion South, Oton, Iloilo"
RGY\'S DRUGSTORE,"174 Burgos Extension, Camingawan, Estefania, Bacolod City, Negros Occidental"
CULASI PHARMACY,"Paglaum Street, Brgy. Culasi, Ajuy, Iloilo"
JA'S MEDICINE CORNER,"Lopez Jaena St., Dumangas, Iloilo, Western Visayas (Region VI), 5006, Dumangas, Iloilo"
EDNEL PHARMACY,"Villareal Highway, Poblacion Tabuc, Mambusao, Capiz, Western Visayas (Region VI), 5807, Mambusao, Capiz"
Adeline Pharmacy,"Penaranda St, Baybay Sur, Miagao, Iloilo, Western Visayas (Region VI), 5023, Miagao, Iloilo"
CONFLUENCE HEALTH &amp; WELLNESS PRODUCTS,"Barangay Poblacion, Zone I, Estancia, Iloilo"
HEALTHY EXPRESS DRUGMART,"BURGOS ST., LAPAZ, Iloilo City, Iloilo"
EVZ PHARMACY,"Cor. Arroyo St., La Paz, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
WILLTHON DRUGSTORE,"Barangay Poblacion VIII, Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
GUIMCARE PHARMACY,"Cabalagnan, Nueva Valencia, Guimaras, Nueva Valencia, Guimaras, Western Visayas (Region VI), 5046, Nueva Valencia, Guimaras"
"WATSONS PERSONAL CARE STORES (PHILIPPINES), INC.","Jomabo Bldg., along Nat'l Highway, corner Roxas St., Barangay Poblacion II, Sagay City, Negros Occidental"
Medicruz Pharmacy,"Lopez Jaena Street,, Brgy., Poblacion, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
NEGROS GRACE PHARMACY,"Gaisano Grand Kabankalan, Tan Lorenzo Street, Barangay 1, Kabankalan, Negros Occidental"
KEEPEE  DRUGSTORE,"2 GEN. HUGHES ST., CITY PROPER, Iloilo City, Iloilo"
Richvill Drugstore,"Dr. 1 Dinsay-Arimas St., Brgy. Zone IV, Murcia, Negros Occidental"
Rose Pharmacy,"LMJ Bldg Zone II, Mc Arthur Hiway Tagbac, Jaro, Iloilo City, Iloilo"
THREE VERGELS PHARMACY,"D Rodrigo Street. Sum-ag, Bacolod City, Negros Occidental"
CAREHEALTH PHARMACY,"Taft Street, Brgy. Poblacion, Dumalag, Capiz, Western Visayas (Region VI), 5813, Dumalag, Capiz"
MGSS Pharmacy,"Zone 4, Brgy. Jibao-an, Pavia, Iloilo, Western Visayas (Region VI), 5001, Pavia, Iloilo"
EDEN PHARMACY,"B.S. Aquino Drive, Villamonte Public Market,, Bacolod, Negros Occidental"
ETM PHARMACY,"Barangay Rumirang, Isabela, Negros Occidental"
LLA MEDICAL DENTAL TRADING,"St. Elizabeth Center, Valeria Street, Brgy. Danao, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
FC PHARMACY,"Magallanes St., Brgy. III, Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
Essentiales Pharmacy,"Brgy. Igbarawan, Patnongon, Antique"
3R\'s Pharmacy,"141 Simon Ledesma Street Brgy. Maria Cristina, Jaro, Iloilo City, Iloilo"
GENERIKA DRUGSTORE,"Rizal St., Brgy. Laguda, District of Lapaz, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
PILL-EXPRESS PHARMACY,"Purok Boungainvilla Brgy. Old Sagay, Sagay City, Negros Occidental"
Pedregosa DrugMart Co.,"Bga. Bante,Brgy. Jalaud Norte, Zarraga, Iloilo"
MEDHEALTH  PHARMACY,"Orbe St., Brgy. Baybay Norte, Miagao, Iloilo, Western Visayas (Region VI), 5023, Miagao, Iloilo"
M&amp; E Drugstore,"TAMBORONG, SAN LORENZO GUIMARAS, San Lorenzo, Guimaras"
Landmark Pharmacy,"Parara Norte, Tigbauan, Iloilo"
IPEDCARE PLUS,"Zone 4, Brgy. Jibao-an, Pavia, Iloilo"
ILOILO GRACE PHARMACY,"12 Lopez Jaena St., Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
Jerusha\'s Drugstore,"Northwestern Visayan Colleges Inc. Building, Capitol, Kalibo, Aklan"
JELAN PHARMACY,"Brgy. 8, San Roque St., San Miguel, Iloilo, Western Visayas (Region VI), 5025, San Miguel, Iloilo"
M.R. PHARMACY,"Pob. Ilawod, Panay, Capiz"
MERRYMART CONSUMER CORP.,"BURGOS STREET, Roxas City, Capiz"
CCRJ PHARMACY,"POBLACION, SOUTH EAST ZONE, Lemery, Iloilo"
MJY DRUGSTORE,"Roxas Ave., Brgy. Pob. II, Sagay, Negros Occidental, Negros Island Region, 6122, Sagay, Negros Occidental"
BALTAZAR PHARMACY,"Sta. Rita, Anilao, Iloilo"
TRIPLE K DRUGSTORE,"Mabini St., La Castellana, Negros Occidental, Negros Island Region, 6131, La Castellana, Negros Occidental"
"WATSONS PERSONAL CARE STORES (PHILS), INC.","G/F SM City Ioilo B. Aquino Ave., Mandurriao, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
MERRYMART STORE,"BURGOS-MABINI-PLAZA, LA PAZ, Iloilo City, Iloilo"
.FORSIGHT DISTRIBUTION INC.,"Sta. Isabelle International School, Q. Abeto, Iloilo City, Iloilo"
NEGROS GRACE PHARMACY 8880,"Abelarde St., Z-4, Cadiz, Negros Occidental"
ALABADO PHARMACY,"Centro Poblacion, Culasi, Antique"
MEDICARE PHARMA AND MEDICAL SUPPLIES TRADING,"MALAPAJO BLDG., KM. 1, POBLACION XI, BARANGAY XI,, Roxas City, Capiz"
Glory Pharmacy,"012 Gen. Luna St. Brgy. Danao, Iloilo, Iloilo City, Iloilo"
Mercury Drug,"Crispin Salazar Street, Barangay Crispin Salazar South (Pob.), Janiuay, Iloilo"
MGS PHARMACY,"SAN ANGEL, SAN JOSE, ANTIQUE, San Jose de Buenavista, Antique"
ETHYL PHARMACY,"St. Martin Street, Poblacion, Dumalag, Capiz, Western Visayas (Region VI), 5813, Dumalag, Capiz"
D APOTEK DRUGSTORE,"Brgy San Roque, Buenavista, Guimaras"
MERCURY DRUG,"Del Rosario St., Brgy. Poblacion Norte, Balasan, Iloilo"
MERCURY DRUG,"DCDM Bldg., Don Victorino Salcedo St., Brgy. Poblacion, Ilawod, Sara, Iloilo, Western Visayas (Region VI), 5014, Sara, Iloilo"
Smartcure Pharmacy,"Door 6, Zone 5, Barangay Handumanan, Bacolod City, Negros Occidental"
CAMINA PHARMACY,"Cabaluna St., Leon, Iloilo"
ST. MARY'S PHARMACY,"Sipalay Public Market, Sipalay, Negros Occidental, Negros Island Region, 6113, Sipalay, Negros Occidental"
Knorpan Drugstore,"Susana II Building, Cor. Zaldivar and Moscoso St., Barangay 8, San Jose de Buenavista, Antique"
AG JR PHARMACY,"Rizal St., Pala-pala, Iloilo City, Iloilo"
SUPER K DRUG III,"BURGOS STREET,, Roxas City, Capiz"
CDMD PHARMACY,"Brgy. Poblacion, Leganes, Iloilo"
Rose Pharmacy,"Plaza Nena, Zulueta Avenue, Nonato Ext., Barangay Baybay Norte, Miagao, Iloilo"
DRAG N SHOP PHARMACY,"AJL Bldg., General Luna St., Brgy. Villa Anita, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
FOURMULA 1 + BOTIKA NG BAYAN (F1 + BNB),"Poblacion, Tibiao, Antique, Western Visayas (Region VI), 5707, Tibiao, Antique"
FOURMULA 1+ BOTIKA NG BAYAN (F1+BNB),"BRGY. POBLACION, San Remigio, Antique, Western Visayas (Region VI), 5714, San Remigio, Antique"
FARMACIA LUCEÃ‘O,"Zone 10, Barangay Calaparan, Arevalo,, Iloilo City, Iloilo"
SUPER K DRUG V,"ARNALDO BOULEVARD, ROXAS CITY, Capiz"
DOC'S BCM PHARMACY,"Araneta St.,, Barotac Nuevo, Iloilo, Western Visayas (Region VI), 5007, Barotac Nuevo, Iloilo"
PJE PHARMACY,"AGORA PUBLIC MARKET, Brgy II Poblacion (Block Holder)., La Carlota City, Negros Occidental"
RGT PHARMACY,"Aquino Nobleza St., Janiuay, Iloilo, Western Visayas (Region VI), 5034, Janiuay, Iloilo"
Alphe Pharmacy,"Public Market, Bago City, Negros Occidental"
FARMACIA JVI,"Advincula Building, Mabini St., Poblacion, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
BOTIKANG PINOY INC.,"CORNER E. LOPEZ &amp; DEL CARMEN STS., Iloilo City, Iloilo"
"BOTIKANG PINOY, INC.","Brgy. Q. Abeto-Mirasol, Mandurriao, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
GENERIKA DRUGSTORE,"TGIC Bldg. Hilado-Burgos Sts., Purok Avocado, Barangay 20, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
ALFER PHARMA-MART,"Brgy. Poblacion, San Enrique, Negros Occidental"
FARMACIA FRANCO,"National Road, Poblacion (Centro), Laua-an, Antique, Western Visayas (Region VI), 5705, Laua-an, Antique"
Rose Pharmacy,"Centro Poblacion, Culasi, Antique"
GENERIKA DRUGSTORE,"Barangay Aquino Nobleza East, Janiuay, Iloilo, Western Visayas (Region VI), 5034, Janiuay, Iloilo"
FARMACIA FADERUGAO,"St. Martin Street, Dumalag, Capiz, Western Visayas (Region VI), 5813, Dumalag, Capiz"
PADDY PHARMACY,"NEW SARA PUBLIC TERMINAL, DV SALCEDO ST., BRGY. POBLACION ILAWOD, Sara, Iloilo, Western Visayas (Region VI), 5014, Sara, Iloilo"
JAB'S PHARMACY,"Brgy. 1 Poblacion, Hinoba-An (ASIA, Negros Occidental"
DASHA GAYLE PHARMACY,"Zone 2, brgy. Dacuton, Dumarao, Capiz"
DIERON PHARMACY,"Tolosa Street, Brgy. 6, Tigbauan, Iloilo, Tigbauan, Iloilo"
LITEMED\'S DRUGSTORE,"Stall #56 Kalibo Shopping Center, Poblacion, Kalibo, Aklan"
NEW MESA DRUGSTORE,"Stall #1, Aldeguer St., Central Market, Brgy. Nonoy, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
3JE DRUGSTORE,"Victorias Commerical Center, Ascalon St., Brgy. II (Poblacion I), Victorias, Negros Occidental, Negros Island Region, 6119, Victorias, Negros Occidental"
DE`HEROCHI PHARMACY,"BRGY. F PARCON WARD, Pototan, Iloilo"
FARMACIA ANTHONIA,"Zone 1 Brgy. Bacuyangan, Hinoba-An (ASIA, Negros Occidental"
24 PHARMACY,"Buenaflor St., Dumangas, Iloilo"
SUPER K DRUG - XVII,"Public Market, Pob. Tabuc,, Mambusao, Capiz, Western Visayas (Region VI), 5807, Mambusao, Capiz"
GG Pharmacy,"Stall #10 Miag-ao Public Market, Octavio St.,, Miagao, Iloilo, Western Visayas (Region VI), 5023, Miagao, Iloilo"
HOLY CHILD PHARMACY,"Zone 4 Barangay San Juan Molo, Iloilo City, Iloilo"
BGC PHARMACY,"Rizal St., La Paz, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
LOBLYN'S PHARMACY,"Zone 3,  Bacuyangan, Hinoba-an, Negros Occidental, Negros Island Region, 6114, Hinoba-an, Negros Occidental"
CORNER DRUGSTORE,"Purok Gumamela, Brgy. Cabug, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
ST. PETER'S PHARMACY,"BARANGAY 2, SALVILLA-STO. ROSARIO STREETS SAN MIGUEL, ILOILO, San Miguel, Iloilo"
ST. MICHAEL ARCHANGEL PHARMACY,"National Highway, Purok 3 M's, Brgy. Poblacion, Toboso, Negros Occidental, Negros Island Region, 6125, Toboso, Negros Occidental"
BONI FARMACIA,"Purok Masinulondon, Brgy. Punta Taytay, Bacolod City, Negros Occidental"
2FRTG PHARMACY,"Block 37 Lot C, Brgy. Bolilao, Mandurriao, Iloilo City, Iloilo"
"FAMILYHEALTH &amp; BEAUTY CORP.,","2F Robinsons Place Iloilo,, cor. De Leon Quezon St., Brgy. Roxas Village, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
CIRCLE E PHARMACY,"Purok Sampaguita, Barangay Binicuil, Kabankalan City, Negros Occidental"
DROGALIFE DRUGSTORE,"Presbitero St., Purok Bougainvilla, Brgy. Poblacion, Valladolid, Negros Occidental"
B &amp; B DRUGSTORE,"Canonero St., Alimodian Public Market, Alimodian, Iloilo, Western Visayas (Region VI), 5028, Alimodian, Iloilo"
FOURMULA ONE  PLUS BOTIKA NG BAYAN (F1 + BNB),"Real St., Poblacion, Patnongon, Antique, Western Visayas (Region VI), 5702, Patnongon, Antique"
GREEN LIVING PHARMACY,"New Annex Bldg. Lopues East Center Upper East Avenue, Brgy. 41, Bacolod City, Negros Occidental"
ECARE PHARMACY,"PIASAM BLDG., PUROK KULITIS, BRGY. DOS HERMANAS, Talisay City, Negros Occidental"
HAPPY PILL PHARMACY,"PUROK COMMERCIAL,NATIONAL HIGHWAY, BARANGAY PARAISO, Sagay, Negros Occidental, Negros Island Region, 6122, Sagay, Negros Occidental"
MERCURY DRUG,"Sigma-Mambusao-Jamindan Road, Barangay Poblacion Sur, Sigma, Capiz, Western Visayas (Region VI), 5816, Sigma, Capiz"
THE GENERICS PHARMACY,"Perimeter Block No. 50, N. Aguilar Mall, Poblacion, Sagay City, Sagay, Negros Occidental, Negros Island Region, 6122, Sagay, Negros Occidental"
JMED PHARMACY,"Brgy. Cawayan, Carles, Iloilo"
EASTERN BASIC PHARMACY,"Mabini St., Poblacion, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
JSONIA PHARMACY,"Philican 2 Commercial Bldg., Prk. Pag-asa, Brgy. Balintawak (Pob.), Escalante City, Negros Occidental"
GREEN LIVING PHARMACY,"CAR-J BLDG. Cor., Libertad Ext. Circumferential Rd. Brgy. Taculing, Bacolod City, Negros Occidental"
GOODNESS PHARMACY,"ZONE 14 BARANGAY CALAPARAN AREVALO, Iloilo City, Iloilo"
RX CONNECT PHARMACY,"Eagle's Place-Dalipe, Funda-Dalipe, San Jose, Antique, Western Visayas (Region VI), 5700, San Jose, Antique"
K. PALACIOS DRUGSTORE,"Huges St.,, Maasin, Iloilo, Western Visayas (Region VI), 5030, Maasin, Iloilo"
EM-AR PHARMACY,"Azucena St., Poblacion,, Banga, Aklan, Western Visayas (Region VI), 5601, Banga, Aklan"
CARTEL'S PHARMACY,"Brgy. Poblacion, Bago, Negros Occidental, Negros Island Region, 6101, Bago, Negros Occidental"
98El Pharmacy and Medical Clinic,"El 98 St., Brgy. Taytay Zone II, Jaro, Iloilo, Iloilo"
RJF Pharmaceutical Products Trading,"Brgy. Mina East (Pob.), Mina, Iloilo, Mina, Iloilo"
FARMACIA NI DOK,"Blk. 1 Lot 1 cor. JR Torres Ave. & Doña Julia St., Barangay Singcang, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
Southside Pharmacy,"Allera Street, Brgy. 8(Pob.), Tigbauan, Iloilo"
GL Pharmacy,"#3 Tumbagahan Street. Brgy. Poblacion, Tangalan, Aklan"
Merry Pharmacy,"Samson Street, Barangay Poblacion Tabuc, Mambusao, Capiz"
Thea-ra Pharmacy,"New Dacudao St., Dingle Iloilo, Dingle, Iloilo"
JOR-DEL FARMACIA,"Anilao Public Market, Poblacion, Anilao, Iloilo, ANILAO, ILOILO"
JOMICAR PHARMACY,"Corner Rizal Libo-on Sts., Guimbal, Iloilo, Western Visayas (Region VI), 5022, Guimbal, Iloilo"
RMC PHARMACY,"Zone 1 Brgy. Tagbac Jaro, Iloilo City, Iloilo"
THE PIT DRUG MART,"Guimaras Circumferential Rd,, JORDAN, Guimaras"
THE GENERICS PHARMACY,"National Highway, Purok Pag-Asa, Brgy. Balintawak, Escalante, Negros Occidental, Negros Island Region, 6124, Escalante, Negros Occidental"
KD DRUGSTORE,"Lot 22 Block 29 Dona Carmen Avenue, Brgy. Alijis, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
FOURMULA 1+ BOTIKA NG BAYAN (F1+ BNB),"Legaspi Street, Ubos, Valderrama, Antique, Western Visayas (Region VI), 5703, Valderrama, Antique"
HQ CURE CENTER CORPORATION,"JC ZULUETA ST., POBLACION SOUTH, Oton, Iloilo, Western Visayas (Region VI), 5020, Oton, Iloilo"
KEN DANIEL PHARMACY,"BRGY. BACUYANGAN, Hinoba-An (ASIA, Negros Occidental"
THE GENERICS PHARMACY,"Corner Montinola-Arroyo St., Santa Barbara, Iloilo, Western Visayas (Region VI), 5002, Santa Barbara, Iloilo"
Mercury Drug,"Stall No. 4, 5, 6, & 7 R&L Building, Barangay Cabugcabug, President Roxas, Capiz"
3JE Drugstore,"Blk.-8 VCC Ascalon St. , Victorias, Negros Occidental"
MEDSHOPPE PHARMACY,"Roxas Avenue, Poblacion, New Washington, Aklan, Western Visayas (Region VI), 5610, New Washington, Aklan"
Ruthcelmar Drugstore,"Brgy. Gloria, Ledesma St.,, Iloilo City, Iloilo"
DAILYMED PHARMACY,"GUANZON ST., BRGY. 1, Kabankalan City, Negros Occidental"
LTC PHARMACY,"Brgy. Bancal, Alimodian, Iloilo"
HEALTHSURE DRUG &amp; CONVENIENCE STORE,"Roosevelt St., Brgy. Zone 1 Poblacion, Sta. Barbara, Iloilo"
HOSPITALIAN'S PHARMACY,"Palje St., Mambusao, Capiz, Western Visayas (Region VI), 5807, Mambusao, Capiz"
HEALTHEXPRESS PHARMACY,"112-E Libertad Ext. Barangay 40, Bacolod City, Negros Occidental"
ILOILO GRACE PHARMACY,"Onate St., Brgy. Onate De Leon, Mandurriao District, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
"HUA  KONG CHINESE DRUG &amp; TRADING, INC.","Savemore Market, Mabini Street, Barangay Zone 12, Talisay, Negros Occidental"
"HUA KONG CHINESE DRUG &amp; TRADING, INC.","S-2 SM Hypermarket, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
HELYN PHARMACY,"Lot 11 Block 13 Project 1 Brgy. So-oc, Arevalo, Iloilo City, Iloilo"
M&amp;D PHARMACY,"Cordova Sur, Tigbauan, Iloilo"
RTS DRUGSTORE,"PUBLIC MARKET, V. GUSTILO ST., BRGY. IV, SAN CARLOS CITY, NEGROS OCCIDENTAL, San Carlos City, Negros Occidental"
SEMIRARA DRUGSTORE,"Semirara, Caluya, Antique, Western Visayas (Region VI), 5711, Caluya, Antique"
N-JILL PHARMACY,"Catoera St., Poblacion, Bingawan, Iloilo"
FAMILYHEALTH &amp; BEAUTY CORP.,"G/F City Mall Passi, Brgy. Poblacion Ilawod, Passi, Iloilo, Western Visayas (Region VI), 5037, Passi, Iloilo"
PANES PHARMACY,"Public Market, Poblacion, Ilaya, San Enrique, Iloilo, Western Visayas (Region VI), 5036, San Enrique, Iloilo"
R &amp; S PHARMACY,"Iloilo City ZONE 7 BRGY. CALUMPANG MOLO, Iloilo City, Iloilo"
NEGROS GRACE PHARMACY,"Mariane Bldg., corner B. S. Aquino Drive-17th Lacson Sts., Bacolod, Negros Occidental"
Kanata Drugmart,"Alfaro Building, Quezon Ave. Andagao, Kalibo, Aklan"
BAN\'S PHARMACY,"C. Castor St., Barangay, Poblacion Market, Sara, Iloilo, Sara, Iloilo"
LILIAS3 PHARMACY,"Barangay 2 - Poblacion, Moises Padilla, Negros Occidental, Negros Island Region, 6132, Moises Padilla, Negros Occidental"
RYV PHARMACY,"Zone 1, Brgy. Nabulao, Sipalay, Negros Occidental, Negros Island Region, 6113, Sipalay, Negros Occidental"
Medcare Pharmacy,"C.O. Zaldivar Street,Barangay 8(Pob.), San Jose de Buenavista, Antique"
